Rank, Book_Title, Author,Column1
175,The Lorax,Dr. Seuss,4.34 avg rating — 340 919 ratings
176,The Maze Runner (The Maze Runner  #1),James Dashner (Goodreads Author),4.05 avg rating — 1 504 164 ratings
177,Goodnight Moon,Margaret Wise Brown,4.31 avg rating — 370 953 ratings
178,A Midsummer Night’s Dream,William Shakespeare,3.95 avg rating — 535 250 ratings
179,The Haunting of Hill House,Shirley Jackson,3.82 avg rating — 295 519 ratings
180,Frostbite (Vampire Academy  #2),Richelle Mead (Goodreads Author),4.26 avg rating — 353 080 ratings
181,The Hunger Games Trilogy Boxset (The Hunger Games  #1-3),Suzanne Collins,4.49 avg rating — 219 619 ratings
182,Throne of Glass (Throne of Glass  #1),Sarah J. Maas (Goodreads Author),4.19 avg rating — 1 356 897 ratings
183,Tess of the D’Urbervilles,Thomas Hardy,3.83 avg rating — 281 238 ratings
184,Heart of Darkness,Joseph Conrad,3.43 avg rating — 507 885 ratings
185,The Secret History,Donna Tartt,4.17 avg rating — 712 559 ratings
186,Bridge to Terabithia,Katherine Paterson,4.04 avg rating — 541 274 ratings
187,Blood Promise (Vampire Academy  #4),Richelle Mead (Goodreads Author),4.30 avg rating — 311 411 ratings
188,The Prophet,Kahlil Gibran,4.23 avg rating — 295 393 ratings
189,Murder on the Orient Express (Hercule Poirot  #10),Agatha Christie,4.20 avg rating — 610 016 ratings
190,The Good Earth (House of Earth  #1),Pearl S. Buck,really liked it 4.00 avg rating — 248 350 ratings
191,The Call of the Wild,Jack London,3.90 avg rating — 424 537 ratings
192,The Joy Luck Club,Amy Tan (Goodreads Author),3.97 avg rating — 680 946 ratings
193,The Song of Achilles,Madeline Miller (Goodreads Author),4.33 avg rating — 1 430 066 ratings
194,Alice in Wonderland,Jane Carruth (Adapted By),4.03 avg rating — 389 102 ratings
195,The Silence of the Lambs  (Hannibal Lecter  #2),Thomas  Harris,4.24 avg rating — 544 376 ratings
196,The Phantom Tollbooth,Norton Juster,4.19 avg rating — 284 986 ratings
197,The Selection (The Selection  #1),Kiera Cass (Goodreads Author),4.08 avg rating — 1 526 732 ratings
198,Oh  the Places You’ll Go!,Dr. Seuss,4.36 avg rating — 402 925 ratings
199,Madame Bovary,Gustave Flaubert,3.70 avg rating — 330 314 ratings
200,The Mists of Avalon (Avalon  #1),Marion Zimmer Bradley,4.13 avg rating — 205 852 ratings
201,The Night Circus,Erin Morgenstern (Goodreads Author),4.02 avg rating — 960 042 ratings
202,The Neverending Story,Michael Ende,4.18 avg rating — 199 496 ratings
203,Oliver Twist,Charles Dickens,3.88 avg rating — 384 557 ratings
204,Treasure Island,Robert Louis Stevenson,3.84 avg rating — 483 764 ratings
205,Jonathan Livingston Seagull,Richard Bach (Goodreads Author),3.86 avg rating — 249 416 ratings
206,A Court of Mist and Fury (A Court of Thorns and Roses  #2),Sarah J. Maas (Goodreads Author),4.65 avg rating — 1 651 650 ratings
207,Ulysses,James Joyce,3.75 avg rating — 127 119 ratings
208,The Girl Who Played with Fire (Millennium  #2),Stieg Larsson,4.25 avg rating — 916 802 ratings
209,A Storm of Swords (A Song of Ice and Fire  #3),George R.R. Martin,4.54 avg rating — 775 653 ratings
210,Fifty Shades of Grey (Fifty Shades  #1),E.L. James (Goodreads Author),3.66 avg rating — 2 573 089 ratings
211,The Diary of a Young Girl,Anne Frank,4.19 avg rating — 3 681 101 ratings
212,The Boy in the Striped Pajamas,John Boyne (Goodreads Author),4.15 avg rating — 815 204 ratings
213,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.09 avg rating — 265 212 ratings
214,Jurassic Park (Jurassic Park  #1),Michael Crichton,4.10 avg rating — 949 461 ratings
215,Beloved,Toni Morrison,3.95 avg rating — 428 617 ratings
216,Misery,Stephen King (Goodreads Author),4.21 avg rating — 686 635 ratings
217,A Farewell to Arms,Ernest Hemingway,3.82 avg rating — 318 541 ratings
218,The Canterbury Tales,Geoffrey Chaucer,3.52 avg rating — 220 312 ratings
219,David Copperfield,Charles Dickens,4.03 avg rating — 236 124 ratings
220,The World According to Garp,John Irving (Goodreads Author),4.10 avg rating — 227 272 ratings
221,Thirteen Reasons Why,Jay Asher (Goodreads Author),3.85 avg rating — 962 563 ratings
222,The Lost Hero (The Heroes of Olympus  #1),Rick Riordan (Goodreads Author),4.31 avg rating — 829 926 ratings
223,A Little Princess,Frances Hodgson Burnett,4.22 avg rating — 304 445 ratings
224,His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29 avg rating — 160 547 ratings
225,The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou (Goodreads Author),4.53 avg rating — 1 116 ratings
226,Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years  #1),Gregory Maguire,3.54 avg rating — 595 471 ratings
227,Schindler’s List,Thomas Keneally,4.34 avg rating — 159 892 ratings
228,Sh_gun,James Clavell,4.40 avg rating — 175 691 ratings
229,The Green Mile,Stephen King (Goodreads Author),4.47 avg rating — 316 010 ratings
230,Clockwork Prince (The Infernal Devices  #2),Cassandra Clare (Goodreads Author),4.43 avg rating — 548 031 ratings
231,The Silmarillion,J.R.R. Tolkien,really liked it 4.00 avg rating — 288 308 ratings
232,The Velveteen Rabbit,Margery Williams Bianco,4.30 avg rating — 256 764 ratings
233,Extremely Loud & Incredibly Close,Jonathan Safran Foer (Goodreads Author),3.97 avg rating — 419 494 ratings
234,Cinder (The Lunar Chronicles  #1),Marissa Meyer (Goodreads Author),4.13 avg rating — 913 626 ratings
235,The Iliad / The Odyssey,Homer,4.06 avg rating — 75 197 ratings
236,The Trial,Franz Kafka,3.96 avg rating — 319 413 ratings
237,The Other Boleyn Girl (The Plantagenet and Tudor Novels  #9),Philippa Gregory (Goodreads Author),4.08 avg rating — 495 830 ratings
238,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid (Goodreads Author),4.43 avg rating — 2 849 747 ratings
239,Fallen (Fallen  #1),Lauren Kate (Goodreads Author),3.72 avg rating — 582 348 ratings
240,Last Sacrifice (Vampire Academy  #6),Richelle Mead (Goodreads Author),4.37 avg rating — 286 059 ratings
241,A Confederacy of Dunces,John Kennedy Toole,3.89 avg rating — 273 160 ratings
242,The Sun Also Rises,Ernest Hemingway,3.80 avg rating — 439 859 ratings
243,Gone Girl,Gillian Flynn (Goodreads Author),4.13 avg rating — 3 050 203 ratings
244,Man’s Search for Meaning,Viktor E. Frankl,4.37 avg rating — 696 400 ratings
245,The Secret Magdalene,Ki Longfellow (Goodreads Author),4.15 avg rating — 4 567 ratings
246,Howl’s Moving Castle (Howl’s Moving Castle  #1),Diana Wynne Jones,4.29 avg rating — 345 646 ratings
247,The Crucible: A Play in Four Acts,Arthur Miller,3.60 avg rating — 404 391 ratings
248,Cat's Cradle,Kurt Vonnegut Jr.,4.16 avg rating — 399 196 ratings
249,City of Fallen Angels (The Mortal Instruments  #4),Cassandra Clare (Goodreads Author),4.08 avg rating — 596 172 ratings
250,The Screwtape Letters,C.S. Lewis,4.26 avg rating — 440 155 ratings
251,A Light in the Attic,Shel Silverstein,4.35 avg rating — 443 070 ratings
252,The Wind in the Willows,Kenneth Grahame,4.01 avg rating — 215 799 ratings
