Rank, Book_Title, Author,Column1
1793,New Startup Mindset: Ten Mindset Shifts to Build the Company of Your Dreams,Sandra Shpilberg (Goodreads Author),4.14 avg rating — 285 ratings
1794,Men Are from Mars  Women Are from Venus,John  Gray,3.58 avg rating — 189 384 ratings
1795,Financial Feminist: Overcome the Patriarchy's Bullsh*t to Master Your Money and Build a Life You Love,Tori Dunlap (Goodreads Author),4.13 avg rating — 7 300 ratings
1796,The Call of the Wild  White Fang and Other Stories,Jack London,4.05 avg rating — 22 360 ratings
1797,Moon Palace,Paul Auster,3.98 avg rating — 24 953 ratings
1798,The Bridge on the Drina (Bosnian Trilogy  #1),Ivo Andri_,4.33 avg rating — 21 354 ratings
1799,The Black Jewels Trilogy: Daughter of the Blood  Heir to the Shadows  Queen of the Darkness (The Black Jewels  #1-3),Anne Bishop,4.39 avg rating — 13 820 ratings
1800,Tales of the City (Tales of the City  #1),Armistead Maupin,4.01 avg rating — 43 786 ratings
1801,Slow Time Between the Stars (The Far Reaches  #6),John Scalzi (Goodreads Author),4.18 avg rating — 7 902 ratings
1802,Wives and Daughters,Elizabeth Gaskell,4.12 avg rating — 48 068 ratings
1803,After Forever Ends,Melodie Ramone (Goodreads Author),4.05 avg rating — 1 541 ratings
1804,House Rules,Jodi Picoult (Goodreads Author),4.04 avg rating — 173 378 ratings
1805,Ptolemy's Gate (Bartimaeus  #3),Jonathan Stroud (Goodreads Author),4.27 avg rating — 85 951 ratings
1806,A Storm of Swords: Steel and Snow (A Song of Ice and Fire  #3: Part 1 of 2),George R.R. Martin,4.46 avg rating — 82 406 ratings
1807,Heart of a Dog,Mikhail Bulgakov,4.10 avg rating — 58 450 ratings
1808,The Human Obsession (Manufactured Identity  #3),Heath Sommer (Goodreads Author),4.17 avg rating — 193 ratings
1809,Twenty Years Later,Charlie Donlea (Goodreads Author),4.24 avg rating — 88 637 ratings
1810,The Harry Potter Collection 1-4 (Harry Potter  #1-4),J.K. Rowling,4.69 avg rating — 65 203 ratings
1811,The Magicians (The Magicians  #1),Lev Grossman (Goodreads Author),3.53 avg rating — 261 571 ratings
1812,The Daughter of Time (Inspector Alan Grant  #5),Josephine Tey,3.91 avg rating — 33 669 ratings
1813,Infidel,Ayaan Hirsi Ali,4.19 avg rating — 90 066 ratings
1814,A Kingdom of Flesh and Fire (Blood and Ash  #2),Jennifer L. Armentrout (Goodreads Author),4.36 avg rating — 371 245 ratings
1815,Shadowland (The Immortals  #3),Alyson Noel (Goodreads Author),3.66 avg rating — 83 530 ratings
1816,The Light Fantastic (Discworld  #2; Rincewind  #2),Terry Pratchett,really liked it 4.00 avg rating — 150 422 ratings
1817,Lisey's Story,Stephen King (Goodreads Author),3.70 avg rating — 85 983 ratings
1818,Gates of Fire,Steven Pressfield (Goodreads Author),4.40 avg rating — 38 122 ratings
1819,The Lords of Discipline,Pat Conroy,4.33 avg rating — 28 143 ratings
1820,Dead Fall (Scot Harvath #22),Brad Thor (Goodreads Author),4.40 avg rating — 10 186 ratings
1821,O Pioneers!,Willa Cather,3.89 avg rating — 53 265 ratings
1822,The House at Riverton,Kate Morton (Goodreads Author),3.95 avg rating — 117 454 ratings
1823,Grave Mercy (His Fair Assassin  #1),Robin LaFevers,3.89 avg rating — 105 496 ratings
1824,Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live  Love  Parent  and Lead,Brené Brown (Goodreads Author),4.29 avg rating — 211 315 ratings
1825,Station Eternity (The Midsolar Murders  #1),Mur Lafferty (Goodreads Author),3.72 avg rating — 5 582 ratings
1826,Winesburg  Ohio,Sherwood Anderson,3.84 avg rating — 34 460 ratings
1827,Brave  Not Perfect: Fear Less  Fail More  and Live Bolder,Reshma Saujani (Goodreads Author),3.88 avg rating — 8 210 ratings
1828,A Gracious Enemy & After the War Volume Two,Michael G. Kramer (Goodreads Author),4.29 avg rating — 6 594 ratings
1829,Sphere,Michael Crichton,3.83 avg rating — 184 724 ratings
1830,The Brothers Lionheart,Astrid Lindgren,4.35 avg rating — 37 139 ratings
1831,Thunderhead (Arc of a Scythe  #2),Neal Shusterman (Goodreads Author),4.40 avg rating — 170 387 ratings
1832,Tangled (Tangled  #1),Emma Chase (Goodreads Author),4.04 avg rating — 118 105 ratings
1833,We Should All Be Feminists,Chimamanda Ngozi Adichie,4.41 avg rating — 288 111 ratings
1834,Before the Coffee Gets Cold (Before the Coffee Gets Cold  #1),Toshikazu Kawaguchi,3.71 avg rating — 374 176 ratings
1835,Heist Society (Heist Society  #1),Ally Carter (Goodreads Author),3.91 avg rating — 93 071 ratings
1836,Behind Closed Doors,B.A. Paris (Goodreads Author),3.98 avg rating — 578 391 ratings
1837,Divergent Mind: Thriving in a World That Wasn't Designed for You,Jenara Nerenberg,3.86 avg rating — 5 733 ratings
1838,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.04 avg rating — 86 054 ratings
1839,Slow Brewing Tea (Slow Brewing Tea Series),Randy Loubier (Goodreads Author),4.33 avg rating — 12 415 ratings
1840,Bag of Bones,Stephen King (Goodreads Author),3.92 avg rating — 197 517 ratings
1841,Black Boy,Richard Wright,4.08 avg rating — 53 525 ratings
1842,The Alice Network,Kate Quinn (Goodreads Author),4.32 avg rating — 478 216 ratings
1843,Horton Hears a Who!,Dr. Seuss,4.21 avg rating — 108 892 ratings
1844,The Husband's Secret,Liane Moriarty (Goodreads Author),3.95 avg rating — 666 013 ratings
1845,Rage and Ruin (The Harbinger  #2),Jennifer L. Armentrout (Goodreads Author),4.16 avg rating — 34 031 ratings
1846,The Egyptian,Mika Waltari,4.19 avg rating — 24 953 ratings
1847,Slave to Sensation (Psy-Changeling  #1),Nalini Singh (Goodreads Author),4.09 avg rating — 73 560 ratings
1848,The City of Dreaming Books (Zamonia  #4),Walter Moers,4.39 avg rating — 20 911 ratings
1849,Cemetery Boys (Cemetery Boys  #1),Aiden Thomas (Goodreads Author),4.28 avg rating — 88 678 ratings
,______,____ _____ (Goodreads Author),4.04 avg rating — 50 813 ratings
1851,The Diviners (The Diviners  #1),Libba Bray (Goodreads Author),3.94 avg rating — 98 119 ratings
1852,The Thief (The Queen's Thief  #1),Megan Whalen Turner (Goodreads Author),3.85 avg rating — 85 803 ratings
1853,Along Came a Spider (Alex Cross  #1),James Patterson (Goodreads Author),4.13 avg rating — 456 285 ratings
1854,The Testament,John Grisham (Goodreads Author),3.90 avg rating — 119 952 ratings
1855,Book Lovers,Emily Henry (Goodreads Author),4.15 avg rating — 993 096 ratings
1856,The Mill on the Floss,George Eliot,3.82 avg rating — 54 849 ratings
1857,Nevernight (The Nevernight Chronicle  #1),Jay Kristoff (Goodreads Author),4.23 avg rating — 94 674 ratings
1858,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.96 avg rating — 588 605 ratings
1859,Pure (Covenant  #2),Jennifer L. Armentrout (Goodreads Author),4.27 avg rating — 72 642 ratings
1860,Dark Flame (The Immortals  #4),Alyson Noel (Goodreads Author),3.73 avg rating — 63 047 ratings
1861,The Fall of Hyperion (Hyperion Cantos  #2),Dan Simmons,4.23 avg rating — 124 333 ratings
1862,The Lost World (Jurassic Park  #2),Michael Crichton,3.84 avg rating — 153 172 ratings
1863,Faust,Johann Wolfgang von Goethe,3.90 avg rating — 47 138 ratings
1864,The House at Pooh Corner (Winnie-the-Pooh #2),A.A. Milne,4.37 avg rating — 89 303 ratings
1865,Fragile Eternity (Wicked Lovely  #3),Melissa Marr (Goodreads Author),3.84 avg rating — 43 536 ratings
1866,The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,4.19 avg rating — 42 086 ratings
1867,My Money My Way: Taking Back Control of Your Financial Life,Kumiko Love,4.15 avg rating — 1 928 ratings
1868,Batman: The Killing Joke,Alan Moore (Goodreads Author),4.37 avg rating — 219 610 ratings
1869,Chain Reaction (Perfect Chemistry  #3),Simone Elkeles (Goodreads Author),4.09 avg rating — 63 583 ratings
1870,The Gentleman's Guide to Vice and Virtue (Montague Siblings  #1),Mackenzi Lee (Goodreads Author),4.04 avg rating — 136 126 ratings
1871,The Other Emily,Dean Koontz (Goodreads Author),3.76 avg rating — 36 424 ratings
1872,Our Town,Thornton Wilder,3.71 avg rating — 53 396 ratings
1873,Os Maias,Eça de Queirós,really liked it 4.00 avg rating — 23 979 ratings
1874,Island,Aldous Huxley,3.86 avg rating — 31 475 ratings
1875,Fugitive Telemetry (The Murderbot Diaries  #6),Martha Wells (Goodreads Author),4.32 avg rating — 62 195 ratings
1876,The Sweetness at the Bottom of the Pie (Flavia de Luce  #1),Alan Bradley (Goodreads Author),3.82 avg rating — 167 939 ratings
1877,Housekeeping,Marilynne Robinson,3.81 avg rating — 52 819 ratings
1878,Lord of Shadows (The Dark Artifices  #2),Cassandra Clare (Goodreads Author),4.42 avg rating — 143 586 ratings
1879,Confessions,Augustine of Hippo,3.96 avg rating — 62 980 ratings
1880,We Should All Be Millionaires: A Woman’s Guide to Earning More  Building Wealth  and Gaining Economic Power,Rachel Rodgers,4.22 avg rating — 5 196 ratings
1881,Amy & Roger's Epic Detour,Morgan Matson (Goodreads Author),3.98 avg rating — 93 623 ratings
1882,The King's Men (All for the Game  #3),Nora Sakavic (Goodreads Author),4.57 avg rating — 58 840 ratings
1883,Our Mutual Friend,Charles Dickens,4.09 avg rating — 29 282 ratings
1884,Under the Whispering Door,T.J. Klune (Goodreads Author),4.16 avg rating — 210 863 ratings
1885,Prey,Michael Crichton,3.78 avg rating — 176 553 ratings
1886,Sorcery of Thorns (Sorcery of Thorns  #1),Margaret  Rogerson (Goodreads Author),4.06 avg rating — 132 732 ratings
1887,Beyond the Shadows (Night Angel  #3),Brent Weeks (Goodreads Author),4.27 avg rating — 98 075 ratings
1888,Deity (Covenant  #3),Jennifer L. Armentrout (Goodreads Author),4.33 avg rating — 65 450 ratings
1889,One Last Stop,Casey McQuiston (Goodreads Author),3.94 avg rating — 227 897 ratings
1890,Blood Red Road (Dust Lands  #1),Moira Young (Goodreads Author),3.91 avg rating — 61 665 ratings
1891,Common Sense,Thomas Paine,3.99 avg rating — 35 972 ratings
1892,From Lukov with Love,Mariana Zapata (Goodreads Author),4.24 avg rating — 239 658 ratings
1893,Written in My Own Heart's Blood (Outlander  #8),Diana Gabaldon (Goodreads Author),4.55 avg rating — 125 747 ratings
1894,The Raven King (The Raven Cycle  #4),Maggie Stiefvater (Goodreads Author),4.26 avg rating — 142 589 ratings
1895,I've Got Your Number,Sophie Kinsella (Goodreads Author),3.94 avg rating — 225 392 ratings
1896,We the Living,Ayn Rand,3.95 avg rating — 29 123 ratings
1897,The Autobiography of Malcolm X,Malcolm X,4.36 avg rating — 265 282 ratings
1898,Bird Box (Bird Box  #1),Josh Malerman (Goodreads Author),4.04 avg rating — 187 012 ratings
1899,Unsouled (Cradle  #1),Will Wight (Goodreads Author),4.16 avg rating — 42 060 ratings
1900,The Man Without Qualities,Robert Musil,4.19 avg rating — 6 679 ratings
1901,RELIC: A SciFi Adventure,T.S. Falk (Goodreads Author),4.24 avg rating — 1 172 ratings
1902,Our Blue Orange,A.R. Merrydew (Goodreads Author),4.25 avg rating — 5 717 ratings
1903,Firestarters: How Innovators  Instigators  and Initiators Can Inspire You to Ignite Your Own Life,Raoul Davis Jr. (Goodreads Author),4.29 avg rating — 5 237 ratings
1904,Witches Abroad (Discworld  #12; Witches  #3),Terry Pratchett,4.25 avg rating — 88 358 ratings
1905,Nightfall (The Vampire Diaries: The Return  #1),L.J. Smith (Goodreads Author),3.55 avg rating — 51 882 ratings
1906,Splintered (Splintered  #1),A.G. Howard (Goodreads Author),3.90 avg rating — 63 233 ratings
1907,Hex of the Witch (The Other Witch  #1),Heather G. Harris (Goodreads Author),4.44 avg rating — 1 903 ratings
1908,Eon: Dragoneye Reborn (Eon  #1),Alison Goodman (Goodreads Author),3.96 avg rating — 61 165 ratings
,______ ______,Radwa Ashour,4.30 avg rating — 47 856 ratings
1910,Dance with the Devil (Dark-Hunter  #3),Sherrilyn Kenyon (Goodreads Author),4.37 avg rating — 65 225 ratings
1911,The Novice (Black Magician Trilogy  #2),Trudi Canavan,4.08 avg rating — 59 745 ratings
1912,The Andromeda Strain (Andromeda  #1),Michael Crichton,3.91 avg rating — 254 061 ratings
1913,Wild Magic (Immortals  #1),Tamora Pierce (Goodreads Author),4.31 avg rating — 79 684 ratings
1914,Guns  Germs  and Steel: The Fates of Human Societies,Jared Diamond,4.04 avg rating — 405 959 ratings
1915,The Rise of Nine (Lorien Legacies  #3),Pittacus Lore,4.17 avg rating — 107 093 ratings
1916,By the River Piedra I Sat Down and Wept,Paulo Coelho (Goodreads Author),3.57 avg rating — 101 556 ratings
1917,What We Talk About When We Talk About Love,Raymond Carver,4.05 avg rating — 65 580 ratings
1918,Little Dorrit,Charles Dickens,really liked it 4.00 avg rating — 47 577 ratings
1919,Lord of Chaos (The Wheel of Time  #6),Robert Jordan,4.18 avg rating — 172 928 ratings
1920,Faith of the Fallen (Sword of Truth  #6),Terry Goodkind,4.10 avg rating — 71 886 ratings
1921,The Hobbit,Chuck Dixon (Goodreads Author) (Adapter),4.51 avg rating — 236 419 ratings
1922,Never Lie,Freida McFadden (Goodreads Author),4.13 avg rating — 390 165 ratings
1923,The Final Gambit (The Inheritance Games  #3),Jennifer Lynn Barnes (Goodreads Author),4.14 avg rating — 265 264 ratings
1924,No Exit and Three Other Plays,Jean-Paul Sartre,4.08 avg rating — 29 247 ratings
1925,Equal Rites (Discworld  #3; Witches  #1),Terry Pratchett,4.06 avg rating — 177 699 ratings
1926,Fruits Basket  Vol. 1,Natsuki Takaya,4.28 avg rating — 190 066 ratings
1927,Reached (Matched  #3),Ally Condie (Goodreads Author),3.55 avg rating — 165 875 ratings
1928,Little Fires Everywhere,Celeste Ng (Goodreads Author),4.08 avg rating — 1 157 579 ratings
1929,Stone of Tears (Sword of Truth  #2),Terry Goodkind,4.10 avg rating — 112 323 ratings
1930,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson (Goodreads Author),3.89 avg rating — 1 084 286 ratings
1931,Gilded Tower (Double-Blind #2),J. McCoy,4.22 avg rating — 508 ratings
1932,The Guardian of Secrets and Her Deathly Pact,Jana Petken (Goodreads Author),4.22 avg rating — 1 469 ratings
1933,El túnel,Ernesto Sabato,4.02 avg rating — 73 022 ratings
1934,Demon Copperhead,Barbara Kingsolver,4.52 avg rating — 341 312 ratings
1935,Night Watch (Watch  #1),Sergei Lukyanenko,3.97 avg rating — 43 356 ratings
1936,The Forbidden Game (The Forbidden Game  #1-3),L.J. Smith (Goodreads Author),4.19 avg rating — 22 146 ratings
1937,Missing Wings (Aranysargas  #1),Andrea Luhman (Goodreads Author),4.30 avg rating — 2 320 ratings
1938,Reckless (Thoughtless  #3),S.C. Stephens (Goodreads Author),4.41 avg rating — 77 661 ratings
1939,Whalefall,Daniel Kraus (Goodreads Author),3.77 avg rating — 12 287 ratings
1940,More Than Love  A Husband's Tale,Peter B. Forster (Goodreads Author),4.30 avg rating — 5 679 ratings
1941,Shadow's Edge (Night Angel  #2),Brent Weeks (Goodreads Author),4.25 avg rating — 102 847 ratings
1942,To Say Nothing of the Dog (Oxford Time Travel  #2),Connie Willis,4.11 avg rating — 40 312 ratings
1943,The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,4.14 avg rating — 49 762 ratings
1944,The Odd and the Strange: A Collection of Very Short Fiction,Harvey Havel (Goodreads Author),4.33 avg rating — 1 288 ratings
1945,The Executioner's Song,Norman Mailer,4.06 avg rating — 21 583 ratings
1946,Rage of Angels,Sidney Sheldon,3.96 avg rating — 38 826 ratings
1947,The Road Less Traveled: A New Psychology of Love  Traditional Values and Spiritual Growth,M. Scott Peck,4.07 avg rating — 97 462 ratings
1948,The Fall of the House of Usher and Other Tales,Edgar Allan Poe,4.17 avg rating — 73 460 ratings
1949,Presence: Bringing Your Boldest Self to Your Biggest Challenges,Amy Cuddy (Goodreads Author),3.90 avg rating — 17 649 ratings
1950,The Ersatz Elevator (A Series of Unfortunate Events  #6),Lemony Snicket (Goodreads Author),4.05 avg rating — 146 141 ratings
1951,Lightning,Dean Koontz (Goodreads Author),4.09 avg rating — 62 261 ratings
1952,Tomorrow  and Tomorrow  and Tomorrow,Gabrielle Zevin (Goodreads Author),4.19 avg rating — 758 115 ratings
1953,The Birth of Venus,Sarah Dunant,3.81 avg rating — 98 058 ratings
1954,Stormbreaker (Alex Rider  #1),Anthony Horowitz (Goodreads Author),3.98 avg rating — 101 287 ratings
1955,A Gathering of Shadows (Shades of Magic  #2),V.E. Schwab,4.22 avg rating — 190 938 ratings
1956,Homo Deus: A History of Tomorrow,Yuval Noah Harari,4.21 avg rating — 246 226 ratings
1957,The Tea Rose (The Tea Rose  #1),Jennifer Donnelly (Goodreads Author),4.21 avg rating — 37 968 ratings
1958,Lips of a Mastodon,Ted Bernal Guevara (Goodreads Author),3.56 avg rating — 3 120 ratings
1959,We Are the Ants,Shaun David Hutchinson (Goodreads Author),4.12 avg rating — 48 292 ratings
1960,The Steps: 12 Secrets To Raising Happy and Successful Kids,Andrew    Watson (Goodreads Author),4.54 avg rating — 82 ratings
1961,Ghosts,Dolly Alderton,3.89 avg rating — 99 214 ratings
1962,Saphirblau (Edelstein-Trilogie  #2),Kerstin Gier,4.18 avg rating — 109 241 ratings
1963,One Last Kill (Tracy Crosswhite  #10),Robert Dugoni (Goodreads Author),4.49 avg rating — 14 254 ratings
1964,Lucifer's Hammer,Larry Niven,really liked it 4.00 avg rating — 43 649 ratings
1965,Finnikin of the Rock (Lumatere Chronicles  #1),Melina Marchetta (Goodreads Author),3.90 avg rating — 43 645 ratings
1966,The Gifts of Imperfection,Brené Brown (Goodreads Author),4.25 avg rating — 188 980 ratings
1967,The Earthsea Trilogy (Earthsea Cycle  #1-3),Ursula K. Le Guin,4.28 avg rating — 20 612 ratings
1968,The Constant Princess (The Plantagenet and Tudor Novels  #6),Philippa Gregory (Goodreads Author),3.92 avg rating — 162 117 ratings
1969,Dance Dance Dance (The Rat  #4),Haruki Murakami,4.05 avg rating — 87 427 ratings
1970,Home: Habitat  Range  Niche  Territory (The Murderbot Diaries  #4.5),Martha Wells (Goodreads Author),4.10 avg rating — 18 488 ratings
1971,Alas  Babylon,Pat Frank,4.08 avg rating — 45 319 ratings
1972,The Shadow Sect (Netherdei #1),Peter Hackshaw (Goodreads Author),4.14 avg rating — 1 316 ratings
1973,The Return of the Native,Thomas Hardy,3.87 avg rating — 38 277 ratings
1974,Son of the Shadows (Sevenwaters  #2),Juliet Marillier (Goodreads Author),4.33 avg rating — 31 760 ratings
1975,Someone Like You,Sarah Dessen (Goodreads Author),3.92 avg rating — 103 301 ratings
1976,Seraphina (Seraphina  #1),Rachel Hartman (Goodreads Author),3.94 avg rating — 86 120 ratings
1977,A House in the Sky,Amanda Lindhout (Goodreads Author),4.26 avg rating — 63 620 ratings
1978,A Tale for the Time Being,Ruth Ozeki (Goodreads Author),4.06 avg rating — 118 935 ratings
1979,Lodestar (Keeper of the Lost Cities  #5),Shannon Messenger (Goodreads Author),4.53 avg rating — 36 647 ratings
1980,Recursion,Blake Crouch (Goodreads Author),4.16 avg rating — 227 214 ratings
1981,A Conjuring of Light (Shades of Magic  #3),V.E. Schwab,4.32 avg rating — 155 890 ratings
1982,The Coincidence of Callie & Kayden (The Coincidence  #1),Jessica Sorensen (Goodreads Author),4.16 avg rating — 116 020 ratings
1983,Homage to Catalonia,George Orwell,4.09 avg rating — 60 282 ratings
1984,Last Exit to Brooklyn,Hubert Selby Jr.,3.92 avg rating — 27 039 ratings
1985,The Sweet Far Thing (Gemma Doyle  #3),Libba Bray (Goodreads Author),3.97 avg rating — 71 269 ratings
1986,The Cadaver Factory,Kenneth Jarrett Singleton,4.37 avg rating — 269 ratings
1987,Murder in the Family,Cara Hunter (Goodreads Author),3.80 avg rating — 24 525 ratings
1988,The Light We Carry: Overcoming in Uncertain Times,Michelle Obama (Goodreads Author),4.27 avg rating — 75 598 ratings
1989,So Long  and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy  #4),Douglas Adams,4.09 avg rating — 170 860 ratings
1990,Monstrous Regiment (Discworld  #31; Industrial Revolution  #3),Terry Pratchett,4.23 avg rating — 72 453 ratings
1991,Psycho (Psycho  #1),Robert Bloch,4.12 avg rating — 67 271 ratings
1992,The Sneetches and Other Stories,Dr. Seuss,4.31 avg rating — 65 376 ratings
1993,Explosion in Paris,Linda Masemore Pirrung,3.57 avg rating — 2 491 ratings
1994,Legend (The Drenai Saga  #1),David Gemmell,4.26 avg rating — 32 108 ratings
1995,Maus II: A Survivor's Tale: And Here My Troubles Began,Art Spiegelman,4.41 avg rating — 148 048 ratings
1996,Haunting Adeline (Cat and Mouse  #1),H.D. Carlton (Goodreads Author),really liked it 4.00 avg rating — 382 759 ratings
1997,Travels with Charley: In Search of America,John Steinbeck,4.07 avg rating — 93 672 ratings
1998,Body In The Woods (Jack Ludefance  #2),Behcet Kaya (Goodreads Author),4.32 avg rating — 5 900 ratings
1999,Narrative of the Life of Frederick Douglass,Frederick Douglass,4.10 avg rating — 122 112 ratings
2000,Born to Run: A Hidden Tribe  Superathletes  and the Greatest Race the World Has Never Seen,Christopher McDougall,4.30 avg rating — 211 246 ratings
2001,These Happy Golden Years (Little House  #8),Laura Ingalls Wilder,4.21 avg rating — 74 433 ratings
2002,The Mammoth Hunters (Earth's Children  #3),Jean M. Auel,3.94 avg rating — 72 008 ratings
2003,The End (A Series of Unfortunate Events  #13),Lemony Snicket (Goodreads Author),4.03 avg rating — 106 525 ratings
2004,Carnal: Somewhere Over 40 Winks,Rom LcO'Feer,3.53 avg rating — 2 114 ratings
2005,Nevermore (Nevermore  #1),Kelly Creagh (Goodreads Author),3.86 avg rating — 29 830 ratings
2006,Marina,Carlos Ruiz Zafón,4.12 avg rating — 75 038 ratings
2007,The Mountains Sing,Nguy_n Phan Qu_ Mai (Goodreads Author),4.32 avg rating — 41 974 ratings
2008,Gaudy Night (Lord Peter Wimsey  #10),Dorothy L. Sayers,4.20 avg rating — 29 432 ratings
2009,Lord Jim,Joseph Conrad,3.62 avg rating — 30 855 ratings
2010,Existence (Existence  #1),Abbi Glines (Goodreads Author),3.92 avg rating — 61 964 ratings
2011,The _Crown of Gilded Bones (Blood and Ash  #3),Jennifer L. Armentrout (Goodreads Author),4.19 avg rating — 279 496 ratings
2012,The Wife in the Photo,Emily Shiner (Goodreads Author),3.75 avg rating — 2 953 ratings
2013,Wide Sargasso Sea,Jean Rhys,3.59 avg rating — 91 485 ratings
2014,Twilight (The Mediator  #6),Meg Cabot (Goodreads Author),4.24 avg rating — 41 465 ratings
2015,The Golem's Eye (Bartimaeus  #2),Jonathan Stroud (Goodreads Author),4.11 avg rating — 92 388 ratings
2016,Falling Up,Shel Silverstein,4.35 avg rating — 149 745 ratings
2017,Stalking Jack the Ripper (Stalking Jack the Ripper  #1),Kerri Maniscalco (Goodreads Author),3.96 avg rating — 146 673 ratings
2018,The Trumpet of the Swan,E.B. White,4.10 avg rating — 77 272 ratings
2019,Dune Messiah (Dune  #2),Frank Herbert,3.89 avg rating — 268 880 ratings
2020,Enna Burning (The Books of Bayern  #2),Shannon Hale (Goodreads Author),3.99 avg rating — 42 737 ratings
2021,A Memory of Light (The Wheel of Time  #14),Robert Jordan,4.56 avg rating — 141 980 ratings
2022,Follow the River,James Alexander Thom,4.23 avg rating — 21 054 ratings
2023,Roadside Picnic,Arkady Strugatsky,4.15 avg rating — 65 969 ratings
2024,A Song of Ice and Fire (A Song of Ice and Fire  #1-5),George R.R. Martin,4.60 avg rating — 60 055 ratings
2025,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,4.38 avg rating — 181 017 ratings
2026,The Power of Dao: A Timeless Guide to Happiness and Harmony,Lou Marinoff (Goodreads Author),4.26 avg rating — 1 031 ratings
2027,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.27 avg rating — 185 748 ratings
2028,How Women Rise: Break the 12 Habits Holding You Back from Your Next Raise  Promotion  or Job,Sally Helgesen (Goodreads Author),4.12 avg rating — 7 403 ratings
2029,Shadowland (The Mediator  #1),Jenny Carroll,4.04 avg rating — 69 193 ratings
2030,Dance of Thieves (Dance of Thieves  #1),Mary E. Pearson (Goodreads Author),4.16 avg rating — 132 691 ratings
2031,The Present (VanWest  #2),Kenneth   Thomas,3.62 avg rating — 2 421 ratings
2032,The Year of Magical Thinking,Joan Didion,3.93 avg rating — 237 426 ratings
2033,A Visit from the Goon Squad,Jennifer Egan (Goodreads Author),3.69 avg rating — 224 208 ratings
2034,Regretting You,Colleen Hoover (Goodreads Author),4.14 avg rating — 569 056 ratings
2035,Skyward (Skyward  #1),Brandon Sanderson (Goodreads Author),4.48 avg rating — 133 279 ratings
2036,You've Reached Sam,Dustin Thao (Goodreads Author),3.64 avg rating — 123 881 ratings
2037,Making Hearts,Jack Getze (Goodreads Author),4.26 avg rating — 2 285 ratings
2038,Tree of Aeons,spaizzzer,4.22 avg rating — 1 203 ratings
2039,Daddy-Long-Legs (Daddy-Long-Legs  #1),Jean Webster,4.15 avg rating — 66 455 ratings
2040,Duma Key,Stephen King (Goodreads Author),3.97 avg rating — 122 187 ratings
2041,White Hot Kiss (The Dark Elements  #1),Jennifer L. Armentrout (Goodreads Author),4.18 avg rating — 80 480 ratings
,_____ _____ ___ _____,___ _____ ______ (Goodreads Author),3.30 avg rating — 520 ratings
2043,The Sight (The Sight  #1),David Clement-Davies (Goodreads Author),4.13 avg rating — 13 528 ratings
2044,The Grand Delusion (Manufactured Identity  #2),Heath Sommer (Goodreads Author),4.16 avg rating — 179 ratings
2045,Winter of the World (The Century Trilogy #2),Ken Follett (Goodreads Author),4.37 avg rating — 159 492 ratings
2046,The Rules of Attraction,Bret Easton Ellis,3.72 avg rating — 46 886 ratings
2047,Our Violent Ends (These Violent Delights  #2),Chloe Gong (Goodreads Author),4.33 avg rating — 62 072 ratings
2048,The Secret of the Blood Charm (Coven Cove Book 1),David      Clark (Goodreads Author),4.24 avg rating — 752 ratings
2049,A Stolen Life,Jaycee Dugard,3.94 avg rating — 118 094 ratings
2050,Anathem,Neal Stephenson (Goodreads Author),4.17 avg rating — 71 205 ratings
2051,Kürk Mantolu Madonna,Sabahattin Ali,4.42 avg rating — 57 490 ratings
2052,What It is Like to Go to War,Karl Marlantes,3.99 avg rating — 9 423 ratings
2053,Games of Command,Linnea Sinclair (Goodreads Author),3.97 avg rating — 2 915 ratings
2054,Bloodlines (Bloodlines  #1),Lindsay Anne Kendal (Goodreads Author),3.78 avg rating — 1 085 ratings
2055,Beautiful Chaos (Caster Chronicles  #3),Kami Garcia (Goodreads Author),3.92 avg rating — 102 357 ratings
2056,The Hour I First Believed,Wally Lamb (Goodreads Author),3.82 avg rating — 62 573 ratings
2057,Nice Girls Don't Get the Corner Office: 101 Unconscious Mistakes Women Make That Sabotage Their Careers,Lois P. Frankel (Goodreads Author),3.68 avg rating — 17 519 ratings
2058,A Million Suns (Across the Universe  #2),Beth Revis (Goodreads Author),4.01 avg rating — 54 094 ratings
2059,Supernova (Renegades  #3),Marissa Meyer (Goodreads Author),4.40 avg rating — 69 941 ratings
2060,Dreamland,Sarah Dessen (Goodreads Author),3.90 avg rating — 81 606 ratings
2061,The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton (Goodreads Author),3.83 avg rating — 360 819 ratings
2062,Woke Up Like This,Amy  Lea (Goodreads Author),4.05 avg rating — 15 655 ratings
2063,Triumph: Life on the Other Side of Trials  Transplants  Transition and Transformation,Gregory S. Works (Goodreads Author),4.26 avg rating — 7 759 ratings
2064,The Tao of Pooh,Benjamin Hoff,really liked it 4.00 avg rating — 119 813 ratings
