Rank,Book_Title,Author
167,Stories of Ernest Hemingway,Ernest Hemingway
168,The Call of the Wild,Jack London
169,The Double Helix: A Personal Account of the Discovery of the Structure of DNA,James D. Watson
170,The Amazing Adventures of Kavalier and Clay,Michael Chabon
171,Oresteia,Aeschylus
172,2666,Roberto Bola–o
173,A Prayer for Owen Meany,John Irving
174,Rabbit Is Rich,John Updike
175,Wide Sargasso Sea,Jean Rhys
176,Winnie the Pooh,A. A Milne
177,Buddenbrooks,Thomas Mann
178,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
179,Bleak House,Charles Dickens
180,Epic of Gilgamesh,
181,The Flowers of Evil,Charles Baudelaire
182,The World According to Garp,John Irving
183,Song of Solomon,Toni Morrison
184,The Stand,Stephen King
185,The Hobbit,J. R. R. Tolkien
186,The Prime of Miss Jean Brodie,Muriel Spark
187,Collected Poems of W. B. Yeats,W. B. Yeats
188,The Man Without Qualities,Robert Musil
189,The Road,Cormac McCarthy
190,King Lear,William Shakespeare
191,Jude the Obscure,Thomas Hardy
192,The Long Goodbye: A Novel,Raymond Chandler
193,A Room of One's Own,Virginia Woolf
194,Light in August,William Faulkner
195,Gilead,Marilynne Robinson
196,Middlesex,Jeffrey Eugenides
197,A Season in Hell,Arthur Rimbaud
198,The Plague,Albert Camus
199,Oedipus at Colonus,Sophocles
200,Twenty Thousand Leagues Under the Sea,Jules Verne
201,The Elements of Style,E. B. WhiteWilliam Strunk Jr.
202,Cloud Atlas,David Mitchell
203,White Noise,Don DeLillo
204,Fahrenheit 451,Ray Bradbury
205,The Wind-Up Bird Chronicle,Haruki Murakami
206,Watership Down,Richard Adams
207,The Charterhouse of Parma,Stendhal
208,Macbeth,William Shakespeare
209,The House of the Spirits,Isabel Allende
210,Nostromo,Joseph Conrad
211,If on a Winter's Night a Traveller,Italo Calvino
212,Medea,Euripides
213,An American Tragedy,Theodore Dreiser
214,The Confessions of Jean-Jacques Rousseau,Jean-Jacques Rousseau
215,The Complete Works of Plato,Plato
216,Wolf Hall,Hilary Mantel
217,His Dark Materials,Philip Pullman
218,Steppenwolf,Hermann Hesse
219,The Savage Detectives,Roberto Bola–o
220,Tender Is the Night,F. Scott Fitzgerald
221,A Visit From The Goon Squad,Jennifer Egan
222,The Maltese Falcon,Dashiell Hammett
223,A House for Mr. Biswas,V. S. Naipaul
224,The Jungle,Upton Sinclair
225,A Tale of Two Cities,Charles Dickens
226,Kim,Rudyard Kipling
227,The Things They Carried,Tim O'Brien
228,Relativity,Albert Einstein
229,Hunger,Knut Hamsun
230,A Wrinkle In Time,Madeleine L'Engle
231,Democracy in America,Alexis de Tocqueville
232,Women in Love,D. H. Lawrence
233,The Adventures of Augie March,Saul Bellow
234,Disgrace,J M Coetzee
235,The Lion  The Witch and the Wardrobe,C. S. Lewis
236,Portnoy's Complaint,Philip Roth
237,The God of Small Things,Arundhati Roy
238,Possession,A. S. Byatt
239,Mahabharata,Vyasa
240,The Three Musketeers,Alexandre Dumas
241,Infinite Jest,David Foster Wallace
242,Speak  Memory,Vladimir Nabokov
243,Atlas Shrugged,Ayn Rand
244,Herzog,Saul Bellow
245,The Pickwick Papers,Charles Dickens
246,Rabbit Redux,John Updike
247,The Known World,Edward P. Jones
248,Gravity's Rainbow,Thomas Pynchon
249,Rabbit at Rest,John Updike
250,Anne of Green Gables,Lucy Maud Montgomery
251,Pippi Longstocking,Astrid Lindgren
252,Austerlitz,W. G. Sebald
253,So Long  See You Tomorrow,William Maxwell
254,Never Let Me Go,Kazuo Ishiguro
255,Harry Potter And The Prisoner Of Azkaban,J. K Rowling
256,The Adventures of Oliver Twist,Charles Dickens
257,I Know Why the Caged Bird Sings,Maya Angelou
258,Look Homeward  Angel,Thomas Wolfe
259,PensŽes,Blaise Pascal
260,The Heart Is A Lonely Hunter,Carson McCullers
261,The Structure of Scientific Revolutions,Thomas Kuhn
262,Bonfire of the Vanities,Tom Wolfe
263,Thus Spake Zarathustra,Friedrich Nietzsche
264,Homage to Catalonia,George Orwell
265,The House of Mirth,Edith Wharton
266,The Chronicles of Narnia,C. S. Lewis
267,Das Kapital,Karl Marx
268,War of the Worlds,H. G. Wells
269,Through the Looking Glass,Lewis Carroll
270,All the Pretty Horses,Cormac McCarthy
271,Where the Wild Things Are,Maurice Sendak
272,The Wonderful Wizard of Oz,L. Frank Baum
273,Confessions of Zeno,Italo Svevo
274,The General Theory of Employment  Interest and Money,John Maynard Keynes
275,The Sea  The Sea,Iris Murdoch
276,A Doll's House,Henrik Ibsen
277,The Good Soldier Svejk,Jaroslav Ha_ek
278,Nausea,Jean Paul Sartre
279,Memoirs of Hadrian,Marguerite Yourcenar
280,I  Claudius,Robert Graves
281,Berlin Alexanderplatz,Alfred Dšblin
282,The Leopard,Giuseppe Tomasi di Lampedusa
283,Meditations,Marcus Aurelius
284,The Civil War,Shelby Foote
285,The Waves,Virginia Woolf
286,Pedro Paramo,Juan Rulfo
287,Season of Migration to the North,Al-Tayyib Salih
288,Lady Chatterley's Lover,D. H. Lawrence
289,Communist Manifesto,Karl MarxFriedrich Engels
290,The Making of the Atomic Bomb,Richard Rhodes
291,Household Tales,Brothers Grimm
292,The Good Earth,Pearl S. Buck
293,The Once and Future King,T. H. White
294,Our Mutual Friend,Charles Dickens
295,Dangerous Liaison,Pierre Choderlos de Laclos
296,The Awakening,Kate Chopin
297,Gone Girl,Gillian Flynn
298,The Shipping News,E. Annie Proulx
299,The End of the Affair,Graham Greene
300,Selected Stories of Alice Munro,Alice Munro
301,A Room With a View,E. M. Forster
302,The Ambassadors,Henry James
303,U.S.A. Trilogy,John Dos Passos
304,The Right Stuff,Tom Wolfe
305,Ethan Frome,Edith Wharton
306,The Woman in White,Wilkie Collins
307,The Year of Magical Thinking,Joan Didion
308,The Red Badge of Courage,Stephen Crane
309,The Gulag Archipelago,Aleksandr Solzhenitsyn
310,The Man Who Loved Children,Christina Stead
311,Pilgrim's Progress,John Bunyan
312,Father Goriot,HonorŽ de Balzac
313,Siddhartha,Hermann Hesse
314,Americanah,Chimamanda Ngozi Adichie
315,Molloy,Samuel Beckett
316,And Then There Were None,Agatha Christie
317,Electra,Sophocles
318,The Poisonwood Bible,Barbara Kingsolver
319,If This Is a Man,Primo Levi
320,Main Street,Sinclair Lewis
321,The Alchemist,Paulo Coelho
322,Out of Africa,Isak Dinesen
323,The Poems of Robert Frost,Robert Frost
324,Lysistrata,Aristophanes
325,The Pillars Of The Earth,Ken Follett
326,Brighton Rock,Graham Greene
327,Lucky Jim,Kingsley Amis
328,Three Sisters,Anton Chekhov
329,Harry Potter and the Goblet of Fire,J. K Rowling
330,The Talented Mr. Ripley,Patricia Highsmith
331,The Book of Disquiet,Fernando Pessoa
332,A Death in the Family,James Agee
333,The Phantom Tollbooth,Norton Juster
334,2001: A Space Odyssey,Arthur C. Clarke
335,Breakfast at Tiffany's,Truman Capote
336,The Book Thief,Markus Zusak
337,The Counterfeiters,AndrŽ Gide
338,Darkness at Noon,Arthur Koestler
339,Zorba the Greek,Nikos Kazantzakis
340,De Rerum Natura,Lucretius
341,The Line of Beauty,Alan Hollinghurst
342,The Histories of Herodotus,Herodotus
343,The Time Machine,H. G. Wells
344,Cousin Bette,HonorŽ de Balzac
345,Stranger in a Strange Land,Robert A. Heinlein
346,Brideshead Revisited,Evelyn Waugh
347,Silas Marner,George Eliot
348,Prometheus Bound,Aeschylus
349,The Essential Writings of Ralph Waldo Emerson,Ralph Waldo Emerson
350,The Goldfinch,Donna Tartt
351,The Sense of an Ending,Julian Barnes
352,Nine Stories,J. D. Salinger
353,The Mayor of Casterbridge,Thomas Hardy
354,A Dance to the Music of Time,Anthony Powell
