ID,rtable_Rank,rtable_Book_Title,rtable_Author,ltable_Rank,ltable_Book_Title,ltable_Author
355,1945.0,The Executioner's Song,Norman Mailer,1105.0,The Executioner's Song,Norman Mailer
356,433.0,Of Human Bondage,W. Somerset Maugham,363.0,Of Human Bondage,W. Somerset Maugham
357,517.0,The Glass Menagerie,Tennessee Williams,1106.0,The Glass Menagerie,Tennessee Williams
358,282.0,Kafka on the Shore,Haruki Murakami,1328.0,Kafka On The Shore,Haruki Murakami
359,512.0,I Capture the Castle,Dodie Smith,554.0,I Capture the Castle,Dodie Smith
360,1701.0,Sarah  Plain and Tall (Sarah  Plain and Tall  #1),Patricia MacLachlan,2056.0,Sarah  Plain and Tall,Patricia MacLachlan
361,473.0,Little House on the Prairie (Little House  #3),Laura Ingalls Wilder,1016.0,Little House on the Prairie,Laura Ingalls Wilder
362,1856.0,The Mill on the Floss,George Eliot,415.0,The Mill on the Floss,George Eliot
363,668.0,The Murder of Roger Ackroyd (Hercule Poirot  #4),Agatha Christie,372.0,The Murder of Roger Ackroyd,Agatha Christie
364,394.0,The Age of Innocence,Edith Wharton,74.0,The Age of Innocence,Edith Wharton
365,217.0,A Farewell to Arms,Ernest Hemingway,76.0,A Farewell to Arms,Ernest Hemingway
366,728.0,The Portrait of a Lady,Henry James,73.0,The Portrait of a Lady,Henry James
367,351.0,Death of a Salesman,Arthur Miller,1372.0,Death Of A Salesman,Arthur Miller
368,99.0,The Old Man and the Sea,Ernest Hemingway,61.0,The Old Man and the Sea,Ernest Hemingway
369,88.0,To Kill a Mockingbird,Harper Lee,25.0,To Kill a Mockingbird,Harper Lee
370,4.0,To Kill a Mockingbird,Harper Lee,25.0,To Kill a Mockingbird,Harper Lee
371,1231.0,I Am Legend,Richard Matheson,1084.0,I Am Legend,Richard Matheson
372,455.0,2001: A Space Odyssey,Arthur C. Clarke,334.0,2001: A Space Odyssey,Arthur C. Clarke
373,1121.0,The Glass Bead Game,Hermann Hesse,807.0,The Glass Bead Game,Hermann Hesse
374,1267.0,Fathers and Sons,Ivan Turgenev,109.0,Fathers and Sons,Ivan Turgenev
375,840.0,The House of Mirth,Edith Wharton,265.0,The House of Mirth,Edith Wharton
376,536.0,A Wizard of Earthsea (Earthsea Cycle  #1),Ursula K. Le Guin,480.0,A Wizard of Earthsea,Ursula K. Le Guin
377,241.0,A Confederacy of Dunces,John Kennedy Toole,151.0,A Confederacy of Dunces,John Kennedy Toole
378,1217.0,An American Tragedy,Theodore Dreiser,213.0,An American Tragedy,Theodore Dreiser
379,1553.0,The Savage Detectives,Roberto Bola–o,219.0,The Savage Detectives,Roberto Bola–o
380,380.0,Waiting for Godot,Samuel Beckett,90.0,Waiting for Godot,Samuel Beckett
381,356.0,The Virgin Suicides,Jeffrey Eugenides,2009.0,The Virgin Suicides,Jeffrey Eugenides
382,62.0,A Tale of Two Cities,Charles Dickens,225.0,A Tale of Two Cities,Charles Dickens
383,294.0,The Things They Carried,Tim O'Brien,227.0,The Things They Carried,Tim O'Brien
384,1019.0,Fall on Your Knees,Ann-Marie MacDonald,2231.0,Fall On Your Knees,Ann-Marie MacDonald
385,2161.0,A Hero of Our Time,Mikhail Lermontov,511.0,A Hero of Our Time,Mikhail Lermontov
386,549.0,A Brief History of Time,Stephen Hawking,613.0,A Brief History of Time,Stephen Hawking
387,457.0,Cry  the Beloved Country,Alan Paton,410.0,Cry  the Beloved Country,Alan Paton
388,997.0,A Town Like Alice,Nevil Shute,1097.0,A Town Like Alice,Nevil Shute
389,40.0,Brave New World,Aldous Huxley,52.0,Brave New World,Aldous Huxley
390,1607.0,Beyond Good and Evil,Friedrich Nietzsche,456.0,Beyond Good and Evil,Friedrich Nietzsche
